date,start_time,distance_km,duration_min,eco_pct,city_pct,sport_pct,start_lat,start_lon,source,notes
2023-12-10,07:22,4.9,14,85,15,0,,,seed,
2023-12-11,17:40,5.8,12,50,0,50,,,seed,
2023-12-12,18:48,6.8,22,100,0,0,,,seed,
2023-12-13,08:08,6.0,14,70,9,21,,,seed,
2023-12-14,18:52,4.7,12,100,0,0,,,seed,
2023-12-15,08:23,6.4,17,70,29,1,,,seed,
2023-12-16,08:27,8.8,25,80,10,10,,,seed,
2023-12-17,17:44,5.2,13,80,20,0,,,seed,
2023-12-18,11:32,5.8,14,70,30,0,,,seed,
2023-12-20,10:17,4.6,14,100,0,0,,,seed,
2023-12-20,19:23,2.3,6,45,55,0,,,seed,
2023-12-21,09:39,7.3,19,85,15,0,,,seed,
2023-12-22,17:05,4.9,10,20,80,0,,,seed,
2023-12-22,19:11,7.3,20,95,1,4,,,seed,
2023-12-23,10:51,13.0,28,31,55,14,,,seed,
2023-12-25,19:04,2.7,5,14,80,6,,,seed,
2023-12-25,19:35,3.1,10,90,10,0,,,seed,
2023-12-26,09:10,9.9,20,50,0,50,,,seed,
2023-12-27,18:10,2.7,8,100,0,0,,,seed,
2023-12-28,07:02,2.3,4,35,0,65,,,seed,
2023-12-30,17:51,5.8,13,80,9,11,,,seed,
2023-12-31,20:20,5.9,18,90,8,2,,,seed,
2024-01-04,09:24,5.3,17,95,5,0,,,seed,
2024-01-06,07:06,4.3,12,70,30,0,,,seed,
2024-01-06,08:25,6.1,17,85,15,0,,,seed,
2024-01-07,07:32,7.0,19,85,15,0,,,seed,
2024-01-07,19:21,6.2,18,85,15,0,,,seed,
2024-01-09,18:09,5.7,15,100,0,0,,,seed,
2024-01-12,09:52,6.5,16,70,30,0,,,seed,
2024-01-13,19:49,15.5,35,31,55,14,,,seed,
2024-01-15,09:36,4.7,10,20,80,0,,,seed,
2024-01-17,19:03,4.0,8,14,80,6,,,seed,
2024-01-23,19:16,4.5,12,80,5,15,,,seed,
2024-01-23,19:44,5.5,14,85,15,0,,,seed,
2024-01-25,21:51,3.9,10,90,10,0,,,seed,
2024-01-26,18:37,6.4,15,21,70,9,,,seed,
2024-01-27,08:35,3.5,10,95,5,0,,,seed,
2024-01-29,07:49,9.1,25,70,30,0,,,seed,
2024-01-30,08:58,5.5,10,27,18,55,,,seed,
2024-01-31,18:06,6.6,17,30,70,0,,,seed,
2024-02-02,19:21,6.3,14,28,60,12,,,seed,
2024-02-03,18:25,1.7,5,40,60,0,,,seed,
2024-02-06,19:21,3.5,12,100,0,0,,,seed,
2024-02-07,20:45,5.9,16,95,4,1,,,seed,
2024-02-12,17:34,10.4,28,85,9,6,,,seed,
2024-02-21,17:03,5.3,13,70,30,0,,,seed,
2024-02-21,19:45,7.6,23,100,0,0,,,seed,
2024-02-24,17:18,2.6,6,45,55,0,,,seed,
2024-02-25,19:34,2.3,4,25,0,75,,,seed,
2024-02-26,09:59,5.3,12,28,60,12,,,seed,
2024-02-26,17:46,4.4,8,50,0,50,,,seed,
2024-02-29,18:28,22.9,61,40,60,0,,,seed,
2024-03-03,09:52,3.6,9,45,55,0,,,seed,
2024-03-09,11:19,2.7,8,90,10,0,,,seed,
2024-03-09,18:27,5.0,12,85,1,14,,,seed,
2024-03-10,21:35,7.5,16,20,80,0,,,seed,
2024-03-13,11:38,2.5,8,85,15,0,,,seed,
2024-03-16,07:59,5.4,11,21,70,9,,,seed,
2024-03-17,18:22,8.6,27,100,0,0,,,seed,
2024-03-18,10:26,9.0,17,14,80,6,,,seed,
2024-03-19,09:36,5.5,13,30,70,0,,,seed,
2024-03-19,18:31,8.7,21,80,20,0,,,seed,
2024-03-22,07:52,5.2,12,45,55,0,,,seed,
2024-03-27,07:35,3.6,10,85,1,14,,,seed,
2024-03-29,08:09,5.1,15,80,20,0,,,seed,
2024-03-30,09:43,2.7,7,90,10,0,,,seed,
2024-04-01,19:05,5.6,15,90,10,0,,,seed,
2024-04-01,20:44,4.9,13,45,55,0,,,seed,
2024-04-04,18:48,5.2,9,35,0,65,,,seed,
2024-04-08,21:46,7.2,22,85,10,5,,,seed,
2024-04-09,11:49,4.2,12,100,0,0,,,seed,
2024-04-10,18:24,7.6,23,85,15,0,,,seed,
2024-04-11,11:23,11.9,39,100,0,0,,,seed,
2024-04-12,18:26,3.7,12,100,0,0,,,seed,
2024-04-13,19:46,7.2,16,31,55,14,,,seed,
2024-04-18,17:04,3.2,10,100,0,0,,,seed,
2024-04-19,08:20,8.3,21,95,3,2,,,seed,
2024-04-19,11:53,7.1,24,90,10,0,,,seed,
2024-04-23,19:25,2.7,8,85,15,0,,,seed,
2024-04-24,09:16,12.2,29,14,80,6,,,seed,
2024-04-24,19:53,1.5,5,80,11,9,,,seed,
2024-04-28,10:57,4.1,7,25,0,75,,,seed,
2024-04-28,18:36,12.6,41,100,0,0,,,seed,
2024-05-04,19:37,5.0,14,85,15,0,,,seed,
2024-05-06,19:20,3.6,11,90,10,0,,,seed,
2024-05-06,19:22,4.8,9,50,0,50,,,seed,
2024-05-07,10:27,4.2,10,40,60,0,,,seed,
2024-05-09,17:00,2.3,7,100,0,0,,,seed,
2024-05-11,18:40,7.2,18,90,9,1,,,seed,
2024-05-12,20:37,3.0,8,100,0,0,,,seed,
2024-05-13,08:24,3.0,9,80,20,0,,,seed,
2024-05-19,11:35,10.5,20,25,0,75,,,seed,
2024-05-26,19:35,3.8,11,100,0,0,,,seed,
2024-05-29,18:15,12.2,34,100,0,0,,,seed,
2024-05-30,09:51,4.6,10,20,80,0,,,seed,
2024-05-30,19:52,9.4,20,20,80,0,,,seed,
2024-05-31,09:54,4.1,12,95,5,0,,,seed,
2024-06-04,19:53,4.5,13,80,20,0,,,seed,
2024-06-05,19:49,4.4,13,80,20,0,,,seed,
2024-06-06,19:25,11.8,23,14,80,6,,,seed,
2024-06-07,17:21,3.5,8,30,70,0,,,seed,
2024-06-10,11:57,1.2,4,31,55,14,,,seed,
2024-06-12,08:37,10.7,35,100,0,0,,,seed,
2024-06-13,10:19,4.5,14,90,10,0,,,seed,
2024-06-14,07:41,6.3,12,45,0,55,,,seed,
2024-06-15,11:27,5.9,16,100,0,0,,,seed,
2024-06-16,20:56,2.2,7,85,11,4,,,seed,
2024-06-22,07:16,8.1,27,100,0,0,,,seed,
2024-06-22,20:08,4.9,12,85,15,0,,,seed,
2024-06-23,08:34,4.3,9,14,80,6,,,seed,
2024-06-23,19:54,3.4,7,31,55,14,,,seed,
2024-06-24,08:00,5.4,16,80,20,0,,,seed,
2024-06-25,07:45,6.1,14,21,70,9,,,seed,
2024-06-25,19:17,5.4,13,28,60,12,,,seed,
2024-06-30,07:02,39.0,97,80,20,0,,,seed,
2024-06-30,09:58,4.3,10,30,20,50,,,seed,
2024-07-02,21:25,3.9,7,45,0,55,,,seed,
2024-07-03,18:19,1.4,5,85,15,0,,,seed,
2024-07-05,07:34,11.8,28,70,30,0,,,seed,
2024-07-10,07:09,14.7,41,85,15,0,,,seed,
2024-07-12,08:06,10.0,18,21,70,9,,,seed,
2024-07-12,08:18,5.0,13,85,15,0,,,seed,
2024-07-13,19:06,9.4,31,95,5,0,,,seed,
2024-07-14,09:07,4.1,8,27,18,55,,,seed,
2024-07-15,19:22,2.8,10,100,0,0,,,seed,
2024-07-17,08:50,6.8,13,25,0,75,,,seed,
2024-07-18,07:57,3.6,12,85,15,0,,,seed,
2024-07-21,20:17,3.9,12,90,10,0,,,seed,
2024-07-24,08:12,3.5,11,85,15,0,,,seed,
2024-07-27,17:22,3.3,8,70,30,0,,,seed,
2024-07-27,18:20,2.5,6,14,80,6,,,seed,
2024-07-31,21:24,1.6,4,50,0,50,,,seed,
2024-08-04,08:02,11.8,35,100,0,0,,,seed,
2024-08-05,08:51,3.0,9,85,15,0,,,seed,
2024-08-08,10:10,9.2,16,25,0,75,,,seed,
2024-08-24,20:39,7.4,17,45,55,0,,,seed,
2024-08-25,09:06,14.0,46,95,4,1,,,seed,
2024-08-27,17:55,4.5,14,90,10,0,,,seed,
2024-08-30,20:05,2.9,7,40,60,0,,,seed,
2024-08-31,10:12,6.7,21,85,15,0,,,seed,
2024-08-31,11:35,9.1,28,80,20,0,,,seed,
2024-09-02,08:18,4.5,14,85,15,0,,,seed,
2024-09-05,11:11,3.8,12,80,20,0,,,seed,
2024-09-07,19:26,3.9,10,45,55,0,,,seed,
2024-09-19,17:10,7.0,12,45,0,55,,,seed,
2024-09-19,18:53,2.9,5,25,0,75,,,seed,
2024-09-21,07:44,2.2,5,70,30,0,,,seed,
2024-09-26,09:41,11.2,30,95,5,0,,,seed,
2024-09-29,20:57,22.5,60,95,5,0,,,seed,
2024-10-01,21:28,1.7,5,45,55,0,,,seed,
2024-10-03,20:52,5.4,13,70,30,0,,,seed,
2024-10-04,08:03,3.4,9,85,15,0,,,seed,
2024-10-05,09:31,6.2,13,20,80,0,,,seed,
2024-10-07,07:03,5.5,17,95,1,4,,,seed,
2024-10-07,09:26,2.5,5,45,0,55,,,seed,
2024-10-12,17:24,23.0,63,95,1,4,,,seed,
2024-10-15,20:35,5.1,13,100,0,0,,,seed,
2024-10-18,08:48,11.7,31,80,1,19,,,seed,
2024-10-19,09:58,7.6,22,100,0,0,,,seed,
2024-10-20,19:58,24.8,63,80,6,14,,,seed,
2024-10-22,19:35,2.1,6,95,5,0,,,seed,
2024-10-24,10:16,4.2,11,80,20,0,,,seed,
2024-10-26,19:33,21.9,66,90,1,9,,,seed,
2024-10-27,20:11,3.4,11,85,15,0,,,seed,
2024-10-31,17:27,6.4,15,20,80,0,,,seed,
2024-11-01,11:37,7.4,22,80,20,0,,,seed,
2024-11-01,18:01,4.4,12,95,5,0,,,seed,
2024-11-02,10:57,32.2,78,85,10,5,,,seed,
2024-11-03,18:49,8.2,23,80,20,0,,,seed,
2024-11-05,08:33,6.1,13,31,55,14,,,seed,
2024-11-05,18:30,7.3,20,80,20,0,,,seed,
2024-11-06,11:10,3.2,10,95,5,0,,,seed,
2024-11-07,08:16,11.6,33,100,0,0,,,seed,
2024-11-09,08:41,3.4,12,100,0,0,,,seed,
2024-11-09,11:29,14.0,42,80,20,0,,,seed,
2024-11-10,07:54,10.2,23,45,55,0,,,seed,
2024-11-11,20:56,7.2,21,100,0,0,,,seed,
2024-11-14,19:06,10.5,27,80,3,17,,,seed,
2024-11-14,19:49,2.8,8,95,5,0,,,seed,
2024-11-15,18:00,4.7,12,100,0,0,,,seed,
2024-11-17,11:52,4.9,10,50,0,50,,,seed,
2024-11-18,17:41,7.8,18,14,80,6,,,seed,
2024-11-19,17:21,2.0,5,30,70,0,,,seed,
2024-11-20,19:07,3.2,8,85,6,9,,,seed,
2024-11-21,08:57,2.5,7,70,21,9,,,seed,
2024-11-22,11:29,9.6,24,85,15,0,,,seed,
2024-11-24,07:47,5.8,12,20,80,0,,,seed,
2024-11-25,08:24,8.5,24,100,0,0,,,seed,
2024-11-25,19:17,6.9,17,90,6,4,,,seed,
2024-11-26,20:35,1.9,5,85,4,11,,,seed,
2024-12-01,19:35,3.3,6,27,18,55,,,seed,
2024-12-05,08:42,7.4,20,45,55,0,,,seed,
2024-12-06,19:06,5.9,16,70,21,9,,,seed,
2024-12-10,11:50,4.0,8,30,70,0,,,seed,
2024-12-12,18:38,7.9,16,28,60,12,,,seed,
2024-12-13,19:07,3.0,6,50,0,50,,,seed,
2024-12-14,20:38,2.3,8,95,5,0,,,seed,
2024-12-15,09:11,6.4,20,95,5,0,,,seed,
2024-12-15,19:21,6.5,16,90,10,0,,,seed,
2024-12-16,17:57,7.8,14,50,0,50,,,seed,
2024-12-19,19:01,8.3,19,31,55,14,,,seed,
2024-12-22,09:40,2.9,6,45,0,55,,,seed,
2024-12-25,08:29,5.5,10,25,0,75,,,seed,
2024-12-27,17:25,3.4,10,70,30,0,,,seed,
2024-12-28,07:59,5.3,13,70,30,0,,,seed,
2024-12-29,07:10,5.6,9,15,10,75,,,seed,
2024-12-31,20:50,8.5,15,27,18,55,,,seed,
2025-01-04,08:11,3.9,11,100,0,0,,,seed,
2025-01-04,19:46,7.4,22,85,15,0,,,seed,
2025-01-07,21:22,5.6,16,95,5,0,,,seed,
2025-01-08,18:19,2.0,4,21,14,65,,,seed,
2025-01-10,08:46,3.2,6,14,80,6,,,seed,
2025-01-11,08:34,7.8,19,80,20,0,,,seed,
2025-01-12,18:34,11.0,22,20,80,0,,,seed,
2025-01-16,08:23,11.0,24,28,60,12,,,seed,
2025-01-22,07:48,4.6,8,27,18,55,,,seed,
2025-01-24,10:45,8.4,21,90,10,0,,,seed,
2025-01-27,08:16,5.8,14,90,6,4,,,seed,
2025-02-06,19:46,3.5,10,80,4,16,,,seed,
2025-02-07,18:08,4.7,14,90,10,0,,,seed,
2025-02-09,09:38,13.6,24,30,20,50,,,seed,
2025-02-12,19:59,7.4,18,28,60,12,,,seed,
2025-02-15,20:34,17.2,50,100,0,0,,,seed,
2025-02-17,07:33,2.2,5,14,80,6,,,seed,
2025-02-22,08:38,9.7,25,95,5,0,,,seed,
2025-02-25,10:23,8.8,25,100,0,0,,,seed,
2025-02-26,11:13,5.4,13,85,15,0,,,seed,
2025-03-02,17:44,3.7,8,40,60,0,,,seed,
2025-03-04,18:51,16.8,47,80,20,0,,,seed,
2025-03-05,11:25,9.3,32,100,0,0,,,seed,
2025-03-14,08:02,7.0,20,85,7,8,,,seed,
2025-03-15,07:45,3.0,9,80,12,8,,,seed,
2025-03-16,18:35,3.0,10,90,10,0,,,seed,
2025-03-17,19:49,9.2,18,14,80,6,,,seed,
2025-03-21,08:43,3.5,8,30,20,50,,,seed,
2025-03-23,08:47,14.2,37,100,0,0,,,seed,
2025-03-24,08:58,7.3,24,100,0,0,,,seed,
2025-03-25,10:57,4.9,12,31,55,14,,,seed,
2025-03-25,18:03,9.1,18,21,14,65,,,seed,
2025-03-29,19:24,7.6,24,85,8,7,,,seed,
2025-04-02,19:23,3.2,10,95,5,0,,,seed,
2025-04-14,19:50,7.2,20,90,5,5,,,seed,
2025-04-16,09:23,3.4,8,70,30,0,,,seed,
2025-04-16,21:12,10.5,28,100,0,0,,,seed,
2025-04-21,21:55,5.1,15,100,0,0,,,seed,
2025-04-22,09:20,3.4,10,70,30,0,,,seed,
2025-05-03,08:04,13.0,34,45,55,0,,,seed,
2025-05-03,08:41,4.8,12,45,55,0,,,seed,
2025-05-06,20:55,4.6,14,100,0,0,,,seed,
2025-05-10,18:34,5.9,15,80,5,15,,,seed,
2025-05-11,19:54,7.8,26,95,5,0,,,seed,
2025-05-12,19:38,5.4,13,70,30,0,,,seed,
2025-05-13,11:24,4.1,11,90,8,2,,,seed,
2025-05-14,18:17,6.1,12,21,70,9,,,seed,
2025-05-17,18:11,5.6,19,100,0,0,,,seed,
2025-05-19,19:31,4.7,14,100,0,0,,,seed,
2025-05-26,08:49,2.5,6,70,30,0,,,seed,
2025-05-30,09:23,3.3,10,85,15,0,,,seed,
2025-05-30,21:59,1.8,5,80,20,0,,,seed,
2025-06-03,07:50,4.1,14,100,0,0,,,seed,
2025-06-06,18:44,3.2,8,30,70,0,,,seed,
2025-06-08,10:08,5.6,14,90,10,0,,,seed,
2025-06-10,17:55,5.5,16,85,15,0,,,seed,
2025-06-14,07:54,3.5,10,80,10,10,,,seed,
2025-06-18,17:06,1.7,6,100,0,0,,,seed,
2025-06-18,18:07,6.9,15,28,60,12,,,seed,
2025-06-19,19:00,4.0,12,85,15,0,,,seed,
2025-06-21,07:39,2.1,4,15,10,75,,,seed,
2025-06-22,08:47,24.8,63,85,5,10,,,seed,
2025-06-30,20:35,5.4,13,85,15,0,,,seed,
2025-07-09,07:18,8.0,16,15,10,75,,,seed,
2025-07-17,07:22,6.1,18,85,6,9,,,seed,
2025-07-18,09:04,7.6,22,95,5,0,,,seed,
2025-07-21,18:05,7.2,12,35,0,65,,,seed,
2025-07-28,19:09,5.6,16,95,5,0,,,seed,
2025-07-29,11:08,4.1,12,85,15,0,,,seed,
2025-08-03,18:47,10.0,29,100,0,0,,,seed,
2025-08-10,21:28,3.3,8,70,30,0,,,seed,
2025-08-16,19:07,21.8,74,100,0,0,,,seed,
2025-08-21,18:42,7.9,27,100,0,0,,,seed,
2025-08-23,20:42,6.1,19,100,0,0,,,seed,
2025-08-25,18:05,8.3,16,30,20,50,,,seed,
2025-08-26,11:10,3.0,10,100,0,0,,,seed,
2025-08-27,20:56,4.1,8,35,0,65,,,seed,
2025-09-04,08:19,5.2,12,28,60,12,,,seed,
2025-09-08,20:49,5.9,13,30,70,0,,,seed,
2025-09-09,08:01,8.3,20,80,20,0,,,seed,
2025-09-09,19:06,4.3,12,70,3,27,,,seed,
2025-09-10,19:08,6.1,20,100,0,0,,,seed,
2025-09-17,21:28,3.6,8,45,0,55,,,seed,
2025-09-24,20:50,4.2,12,80,9,11,,,seed,
2025-09-25,07:24,3.5,7,28,60,12,,,seed,
2025-09-28,20:29,1.8,5,90,10,0,,,seed,
2025-10-02,20:05,2.9,8,100,0,0,,,seed,
2025-10-03,11:50,6.0,17,90,10,0,,,seed,
2025-10-06,19:26,1.6,5,40,60,0,,,seed,
2025-10-10,17:28,4.9,13,90,8,2,,,seed,
2025-10-11,18:02,5.4,15,70,30,0,,,seed,
2025-10-12,09:42,5.6,18,100,0,0,,,seed,
2025-10-16,19:53,13.1,35,95,5,0,,,seed,
2025-10-18,19:40,3.3,10,80,20,0,,,seed,
2025-10-20,18:39,7.5,16,14,80,6,,,seed,
2025-10-22,21:00,5.1,14,100,0,0,,,seed,
2025-10-23,10:51,13.0,41,85,15,0,,,seed,
2025-10-25,10:46,7.0,19,95,5,0,,,seed,
2025-10-29,17:55,9.8,33,100,0,0,,,seed,
2025-11-02,19:56,2.7,7,85,15,0,,,seed,
2025-11-04,08:07,7.6,19,85,2,13,,,seed,
2025-11-08,11:02,4.9,15,95,5,0,,,seed,
2025-11-12,20:52,4.9,10,21,14,65,,,seed,
2025-11-16,07:33,4.1,10,31,55,14,,,seed,
2025-11-19,19:17,5.7,15,95,5,0,,,seed,
2025-11-20,18:10,5.0,13,95,4,1,,,seed,
2025-11-21,07:27,3.8,12,90,10,0,,,seed,
2025-11-22,19:34,7.0,19,95,5,0,,,seed,
2025-11-23,19:42,3.0,9,85,15,0,,,seed,
2025-11-23,19:45,5.2,12,20,80,0,,,seed,
2025-11-24,09:22,3.6,10,100,0,0,,,seed,
2025-11-24,18:50,5.4,14,70,30,0,,,seed,
2025-11-25,09:44,5.4,18,100,0,0,,,seed,
2025-12-01,08:25,5.6,14,90,10,0,,,seed,
2025-12-02,19:56,15.8,51,90,10,0,,,seed,
2025-12-09,20:45,4.6,9,21,70,9,,,seed,
2025-12-11,18:22,4.5,14,95,5,0,,,seed,
2025-12-12,17:13,2.4,7,80,20,0,,,seed,
2025-12-15,21:08,5.8,16,100,0,0,,,seed,
2025-12-16,17:52,4.3,10,20,80,0,,,seed,
2025-12-19,07:02,7.6,20,85,11,4,,,seed,
2025-12-22,18:39,5.9,12,21,70,9,,,seed,
2025-12-23,18:00,1.8,4,30,70,0,,,seed,
2025-12-28,08:04,5.9,13,31,55,14,,,seed,
2025-12-28,17:10,4.0,8,21,14,65,,,seed,
2025-12-30,19:23,1.3,4,100,0,0,,,seed,
2026-01-01,18:52,4.6,10,30,70,0,,,seed,
2026-01-02,09:52,3.3,12,100,0,0,,,seed,
2026-01-03,11:16,2.5,5,28,60,12,,,seed,
2026-01-04,08:41,2.4,6,21,70,9,,,seed,
2026-01-04,18:22,31.0,97,85,15,0,,,seed,
2026-01-08,19:00,8.0,22,100,0,0,,,seed,
2026-01-14,19:07,5.5,13,70,23,7,,,seed,
2026-01-15,09:29,3.2,8,70,30,0,,,seed,
2026-01-17,09:03,10.4,25,70,30,0,,,seed,
2026-01-18,08:31,27.5,76,90,10,0,,,seed,
2026-01-19,07:46,4.2,13,90,10,0,,,seed,
2026-01-20,10:25,7.3,24,100,0,0,,,seed,
2026-01-30,09:12,2.3,5,30,20,50,,,seed,
2026-01-30,18:41,8.3,25,95,5,0,,,seed,
2026-01-31,18:47,2.0,5,21,70,9,,,seed,
2026-02-01,07:21,11.2,29,90,10,0,,,seed,
2026-02-02,18:59,10.7,31,80,3,17,,,seed,
2026-02-03,08:11,4.9,10,50,0,50,,,seed,
2026-02-07,20:47,2.1,7,100,0,0,,,seed,
2026-02-12,17:44,14.2,46,95,5,0,,,seed,
